code;Name;Cmp
60;екбетиа;SC
1;"м. глахиас";NG
2;"м. каяисас";NG
3;"м. гяайкеиоу";GP
4;"м. вамиым";GP
5;"м. лацмгсиас";NG
6;"м. йикйис";NG
7;"м. йеяйуяас";NG
8;"м. тяийакым";NG
9;"м. аттийгс";GP
10;"м. хессакомийгс";NG
11;"м. сеяяым";NG
12;"м. дыдейамгсым";NG
13;"м. яехулмоу";GP
14;"м. йояимхоу";GP
15;"м. йабакас";NG
16;"м. пеккас";NG
17;"м. ебяоу";NG
18;"м. касихиоу";GP
19;"м. дяалас";NG
20;"м. иыаммимым";NG
21;"м. жкыяимас";NG
22;"м. вакйидийгс";NG
23;"м. еубоиас";GP
24;"м. йастояиас";NG
25;"м. йофамгс";NG
26;"м. авазас";GP
27;"м. намхгс";NG
28;"м. гкеиас";GP
29;"м. лессгмиас";GP
30;"м. аитыкоайаямамиас";GP
31;"м. аяйадиас";GP
32;"м. аяцокидас";GP
33;"м. жхиытидас";GP
34;"м. йаядитсас";NG
36;"м. еуяутамиас";GP
37;"м. жыйидас";GP
38;"м. хеспяытиас";NG
39;"м. аятас";NG
40;"м. пяебефгс";NG
41;"м. цяебемым";NG
42;"м. яодопгс";NG
43;"м. кайымиас";GP
44;"м. йуйкадым";NG
45;"м. боиытиас";GP
58;боукцаяиа;SC
47;"м. пиеяиас";NG
48;"м. салоу";NG
49;"м. йежакгмиас";NG
50;"м. кеуйадас";NG
51;"м. файумхоу";NG
52;"м. виоу";NG
53;"м. кесбоу";NG
57;йупяос;SC
56;цеяламиа;SC
59;испамиа;SC
